company_key,ticker,company_name,matched_name,match_type
1000YATIRIMLARHOLDING,BINHO,1000 Yatırımlar Holding,1000 Yatirimlar Holding Anonim Sirketi,prefix
A1CAPITALYATIRIM,A1CAP,A1 Capital Yatırım,A1 Capital Yatirim Menkul Degerler A.S.,prefix
AGANADOLUGRUP,AGHOL,AG Anadolu Grup,AG Anadolu Grubu Holding A.S.,token_subset
AKSIGORTA,AKGRT,AK Sigorta,Aksigorta A.S.,prefix
ACISELSAN,ACSEL,Acıselsan,Aciselsan Acipayam Selüloz Sanayi ve Ticaret A.S.,prefix
ADEL,ADEL,Adel,Adel Kalemcilik Ticaret ve Sanayi A.S.,prefix
ADESEGAYRIMENKUL,ADESE,Adese Gayrimenkul,Adese Gayrimenkul Yatirim A.S.,prefix
ADRAGAYRIMENKUL,ADGYO,Adra Gayrimenkul,Adra Gayrimenkul Yatirim Ortakligi Anonim Sirketi,prefix
AFYONCIMENTO,AFYON,Afyon Çimento,Afyon Çimento Sanayi Türk Anonim Sirketi,prefix
AGESAHAYATVEEMEKLILIK,AGESA,Agesa Hayat ve Emeklilik,AgeSA Hayat ve Emeklilik Anonim Sirketi,prefix
AGROTECHTEKNOLOJI,AGROT,Agrotech Teknoloji,Agrotech Yuksek Teknoloji Ve Yatirim Anonim Sirketi,token_subset
AHESGAYRIMENKULYATIRIMORTAKLIGI,AHSGY,Ahes GYO,Ahes Gayrimenkul Yatirim Ortakligi Anonim Sirketi,prefix
AHLATCIDOGALGAZDAGITIMENERJI,AHGAZ,Ahlatcı Doğal Gaz Dağıtım Enerji,Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim A.S.,prefix
AKBANKTAS,AKBNK,Akbank T.A.Ş,Akbank T.A.S.,exact_key
AKDENIZYATIRIM,AKYHO,Akdeniz Yatırım,Akdeniz Yatirim Holding A.S.,prefix
AKENERJI,AKENR,Akenerji,Akenerji Elektrik Üretim A.S.,prefix
AKFENGAYRIMENKULYATIRIMORTAKLIGI,AKFGY,Akfen GYO,Akfen Gayrimenkul Yatirim Ortakligi A.S.,prefix
AKFENINSAATTURIZMVETICARETAS,AKFIS,Akfen Insaat Turizm ve Ticaret AS,Akfen Insaat Turizm ve Ticaret Anonim Sirketi,exact_canonical
AKFENYENILENEBILIRENERJI,AKFYE,Akfen Yenilenebilir Enerji,Akfen Yenilenebilir Enerji A.S.,prefix
AKISGAYRIMENKULYATIRIMORTAKLIGI,AKSGY,Akiş GYO,Akis Gayrimenkul Yatirim Ortakligi A.S.,prefix
AKMERKEZGAYRIMENKULYATIRIMORTAKLIGI,AKMGY,Akmerkez GYO,Akmerkez Gayrimenkul Yatirim Ortakligi A.S.,prefix
AKSAAKRILIK,AKSA,Aksa Akrilik,Aksa Akrilik Kimya Sanayii A.S.,prefix
AKSAENERJIURETIM,AKSEN,Aksa Enerji Üretim,Aksa Enerji Üretim A.S.,prefix
AKSUENERJIVETICARET,AKSUE,Aksu Enerji ve Ticaret,Aksu Enerji ve Ticaret Anonim Sirketi,prefix
AKCANSACIMENTO,AKCNS,Akçansa Çimento,Akçansa Çimento Sanayi ve Ticaret Anonim Sirketi,prefix
AKINTEKSTILAS,ATEKS,Akın Tekstil A.Ş.,Akin Tekstil Anonim Sirketi,exact_canonical
ALARKOCARRIERSANVETICAS,ALCAR,Alarko Carrier San. Ve Tic. A.Ş.,Alarko Carrier Sanayi ve Ticaret A.S.,fuzzy_0.868
ALARKOGAYRIMENKULYATIRIMORTAKLIGI,ALGYO,Alarko GYO,Alarko Gayrimenkul Yatirim Ortakligi A.S.,prefix
ALARKOHOLDING,ALARK,Alarko Holding,Alarko Holding A.S.,prefix
ALBARAKAPORTFOYGAYRIMENKULYATIRIMORTAKLIGI,ALGYO,Albaraka Portföy GYO,Alarko Gayrimenkul Yatirim Ortakligi A.S.,fuzzy_0.878
ALBARAKATURKKATILIMBANKASIAS,ALBRK,Albaraka Türk Katılım Bankası A.Ş.,Albaraka Türk Katilim Bankasi A.S.,exact_key
ALCATELLUCENT,ALCTL,Alcatel Lucent,Alcatel Lucent Teletas Telekomünikasyon A.S.,prefix
ALFASOLARENERJI,ALFAS,Alfa Solar Enerji,Alfa Solar Enerji Sanayi ve Ticaret A.S.,prefix
ALKIMALKALIKIMYAAS,ALKIM,Alkim Alkali Kimya A.Ş.,Alkim Alkali Kimya A.S.,exact_key
ALKIMKAGITSANVETICAS,ALKA,Alkim Kağıt San. ve Tic. A.Ş.,Alkim Kagit Sanayi ve Ticaret AS,fuzzy_0.851
ALTINYUNUS,AYCES,Altın Yunus,Altin Yunus Çesme Turistik Tesisler A.S.,prefix
ALTINAYSAVUNMA,ALTNY,Altınay Savunma,Altinay Savunma Teknolojileri Anonim Sirketi,prefix
ALTINKILICGIDA,ALKLC,Altınkılıç Gıda,Altinkilic Gida ve Sut Sanayi Ticaret A.S.,prefix
